athlete_key,geography_key,time_key,events_entered,sports_entered
258,239,2024,3,1
259,-1,2022,3,1
259,239,2023,3,1
259,239,2024,3,1
259,239,2025,3,1
263,379,2018,3,1
263,379,2019,3,1
263,379,2024,3,1
263,379,2025,3,1
267,379,2024,3,1
267,379,2025,3,1
268,273,2017,3,1
268,273,2018,3,1
268,273,2019,3,1
269,379,2018,3,1
269,379,2019,3,1
269,379,2024,3,1
269,379,2025,3,1
270,273,2019,3,1
270,273,2023,3,1
270,379,2024,3,1
270,379,2025,3,1
274,265,2015,2,1
274,265,2016,3,1
274,265,2017,3,1
274,265,2018,3,1
274,265,2019,3,1
274,379,2024,3,1
274,379,2025,3,1
276,379,2019,3,1
276,379,2024,3,1
276,379,2025,3,1
279,379,2017,3,1
279,379,2018,3,1
281,385,2022,3,1
281,385,2023,3,1
281,385,2024,3,1
281,385,2025,2,1
287,385,2025,3,1
288,385,2025,3,1
294,385,2023,3,1
294,385,2024,3,1
294,385,2025,3,1
307,277,2015,2,1
307,277,2016,2,1
307,385,2017,2,1
307,385,2019,2,1
307,385,2022,2,1
307,385,2023,2,1
307,385,2024,2,1
307,385,2025,3,1
308,385,2025,3,1
309,385,2022,2,1
309,385,2023,3,1
309,385,2024,2,1
309,385,2025,3,1
311,363,2019,1,1
311,385,2023,3,1
311,385,2024,3,1
311,385,2025,3,1
315,385,2024,3,1
315,385,2025,3,1
317,168,2019,2,1
320,-1,2018,1,1
320,-1,2019,2,1
321,168,2019,2,1
334,167,2019,2,1
345,167,2019,2,1
355,167,2019,2,1
357,394,2019,1,1
357,394,2023,1,1
363,394,2022,1,1
363,394,2023,1,1
364,394,2019,1,1
367,394,2023,1,1
367,399,2022,1,1
373,394,2019,1,1
378,394,2019,1,1
379,394,2023,1,1
379,394,2024,1,1
382,394,2019,1,1
385,-1,2016,1,1
385,394,2019,1,1
385,394,2023,1,1
385,394,2024,1,1
386,59,2015,6,1
386,59,2016,1,1
386,59,2017,1,1
386,59,2018,1,1
386,59,2019,1,1
386,59,2023,1,1
386,59,2024,1,1
386,59,2025,1,1
387,59,2015,6,1
387,59,2019,1,1
387,59,2024,1,1
387,59,2025,1,1
388,59,2023,1,1
388,59,2024,1,1
388,59,2025,1,1
389,59,2019,1,1
389,59,2023,1,1
389,59,2024,1,1
389,59,2025,1,1
391,59,2015,2,1
391,59,2016,2,1
391,59,2017,2,1
391,59,2018,1,1
391,59,2019,1,1
392,59,2017,1,1
392,59,2018,1,1
392,59,2019,1,1
392,59,2023,1,1
392,59,2024,1,1
392,59,2025,1,1
393,59,2025,1,1
396,59,2015,4,1
396,59,2016,1,1
396,59,2017,1,1
396,59,2018,1,1
396,59,2019,1,1
396,59,2023,1,1
396,59,2024,1,1
396,59,2025,1,1
397,59,2015,4,1
397,59,2016,1,1
397,59,2017,1,1
397,59,2018,1,1
397,59,2019,1,1
397,59,2023,1,1
397,59,2024,1,1
398,59,2015,4,1
398,59,2016,1,1
398,59,2017,1,1
398,59,2018,1,1
398,59,2019,1,1
398,59,2023,1,1
398,59,2024,1,1
398,59,2025,1,1
400,59,2015,6,1
400,59,2016,1,1
400,59,2017,1,1
400,59,2018,1,1
400,59,2019,1,1
400,59,2023,1,1
400,59,2024,1,1
400,59,2025,1,1
402,59,2025,1,1
403,59,2025,1,1
405,59,2015,4,1
405,59,2016,1,1
405,59,2017,1,1
405,59,2018,1,1
405,59,2019,1,1
405,59,2023,1,1
405,59,2024,1,1
405,59,2025,1,1
407,59,2015,4,1
407,59,2016,1,1
407,59,2017,1,1
407,59,2018,1,1
407,59,2019,1,1
407,59,2023,1,1
407,59,2024,1,1
409,59,2025,1,1
411,59,2015,4,1
411,59,2016,1,1
411,59,2017,1,1
411,59,2018,1,1
411,59,2019,1,1
412,59,2015,2,1
412,59,2016,2,1
412,59,2017,2,1
412,59,2018,1,1
412,59,2019,1,1
412,59,2025,1,1
414,59,2015,2,1
414,59,2016,2,1
414,59,2017,2,1
414,59,2018,1,1
414,59,2019,1,1
414,59,2025,1,1
416,59,2015,6,1
416,59,2016,1,1
416,59,2017,1,1
416,59,2018,1,1
416,59,2023,1,1
416,59,2024,1,1
416,59,2025,1,1
417,59,2015,2,1
417,59,2016,2,1
417,59,2017,2,1
417,59,2018,1,1
417,59,2019,1,1
417,59,2023,1,1
418,59,2025,1,1
419,59,2015,2,1
419,59,2016,2,1
419,59,2017,2,1
419,59,2018,1,1
419,59,2019,1,1
419,59,2025,1,1
422,59,2015,1,1
422,59,2016,2,1
422,59,2017,2,1
422,59,2018,1,1
422,59,2019,1,1
422,59,2025,1,1
423,59,2015,2,1
423,59,2016,2,1
423,59,2017,2,1
423,59,2018,1,1
423,59,2019,1,1
423,59,2025,1,1
424,59,2015,6,1
424,59,2016,1,1
424,59,2017,1,1
424,59,2018,1,1
424,59,2019,1,1
425,59,2015,6,1
425,59,2016,1,1
425,59,2017,1,1
425,59,2018,1,1
426,59,2017,2,1
426,59,2018,1,1
426,59,2019,1,1
427,59,2015,6,1
427,59,2016,1,1
427,59,2017,1,1
427,59,2018,1,1
427,59,2019,1,1
427,59,2023,1,1
427,59,2024,1,1
429,59,2016,2,1
429,59,2017,2,1
429,59,2018,1,1
429,59,2019,1,1
430,59,2016,1,1
430,59,2017,1,1
430,59,2018,1,1
430,59,2019,1,1
430,59,2023,1,1
430,59,2024,1,1
430,59,2025,1,1
432,59,2015,6,1
432,59,2016,1,1
432,59,2017,1,1
432,59,2018,1,1
